title,slug,category,styrk_code,median_pay_annual,num_employed,education,url
Musikkterapeut,musikkterapeut,Akademiske yrker,2354,680160,3100,,https://utdanning.no/yrker/y_musikkterapeut
Møbeldesigner,moebeldesigner,Akademiske yrker,2163,752040,876,,https://utdanning.no/yrker/y_mobeldesigner
Møbelsnekker,moebelsnekker,Håndverkere,7522,543600,1865,Videregående,https://utdanning.no/yrker/y_mobelsnekker
Møbeltapetserer,moebeltapetserer,Håndverkere,7534,558240,297,Videregående,https://utdanning.no/yrker/y_mobeltapetserer
NDT-kontrollør,ndt-kontrolloer,Håndverkere,7212,606000,5243,Videregående,https://utdanning.no/yrker/y_ndtkontrollor
Naprapat,naprapat,,,,,,https://utdanning.no/yrker/y_naprapat
Naturforvalter,naturforvalter,Akademiske yrker,2133,797160,1131,,https://utdanning.no/yrker/y_naturforvalter
Nautisk instrumentmaker,nautisk-instrumentmaker,Håndverkere,7311,665160,534,Fagbrev/fagskole,https://utdanning.no/yrker/y_nautisk_instrument
Negledesigner,negledesigner,Salgs- og serviceyrker,5142,471960,2911,,https://utdanning.no/yrker/y_negledesigner
Nettverkstekniker,nettverkstekniker,Høyskoleyrker,3513,857880,791,Bachelor,https://utdanning.no/yrker/y_nettverksadm
Nevrolog,nevrolog,Akademiske yrker,2212,1285920,17443,,https://utdanning.no/yrker/y_nevrolog
Nevrosykepleier,nevrosykepleier,Akademiske yrker,2221,765720,29478,Bachelor,https://utdanning.no/yrker/y_nevrosykepleier
Nukleærmedisiner,nukleaermedisiner,Akademiske yrker,2212,1285920,17443,,https://utdanning.no/yrker/y_nuklearmedisiner
Nyrelege,nyrelege,Akademiske yrker,2212,1285920,17443,,https://utdanning.no/yrker/y_nyrelege
Obduksjonstekniker,obduksjonstekniker,,,,,,https://utdanning.no/yrker/y_obduksjonstek
Onkolog,onkolog,Akademiske yrker,2212,1285920,17443,,https://utdanning.no/yrker/y_onkolog
Operasjonssykepleier,operasjonssykepleier,Akademiske yrker,2221,765720,29478,Master,https://utdanning.no/yrker/y_operasjonssykepleier
Optiker,optiker,Høyskoleyrker,3254,671280,1428,Bachelor,https://utdanning.no/yrker/y_optiker
Optroniker,optroniker,Håndverkere,7311,665160,534,Videregående,https://utdanning.no/yrker/y_optroniker
Organist/Kantor,organist-kantor,Akademiske yrker,2652,740520,2283,Bachelor,https://utdanning.no/yrker/y_organistkantor
Orgelbygger,orgelbygger,,,,,Videregående,https://utdanning.no/yrker/y_orgelbygger
Ornitolog,ornitolog,Akademiske yrker,2131,823680,1819,,https://utdanning.no/yrker/y_ornitolog
Ortopediingeniør,ortopediingenioer,Høyskoleyrker,3214,691560,1023,Bachelor,https://utdanning.no/yrker/y_ortopediingenior
Ortopeditekniker,ortopeditekniker,Høyskoleyrker,3214,691560,1023,Videregående,https://utdanning.no/yrker/y_ortopeditekniker
Ortoptist,ortoptist,Høyskoleyrker,3254,671280,1428,Bachelor,https://utdanning.no/yrker/y_ortoptist
Oseanograf,oseanograf,Akademiske yrker,2114,1127880,2765,,https://utdanning.no/yrker/y_oseanograf
Osteopat,osteopat,,,,,Bachelor,https://utdanning.no/yrker/y_osteopat
Oversetter,oversetter,Akademiske yrker,2643,647880,2154,Master,https://utdanning.no/yrker/y_oversetter
Overstyrmann,overstyrmann,Høyskoleyrker,3152,960000,6965,Fagbrev/fagskole,https://utdanning.no/yrker/y_overstyrmann
Paleontolog,paleontolog,,,,,,https://utdanning.no/yrker/y_paleontolog
Patolog,patolog,Akademiske yrker,2212,1285920,17443,,https://utdanning.no/yrker/y_patolog
Pedagog,pedagog,Akademiske yrker,2351,791760,2034,Bachelor,https://utdanning.no/yrker/y_pedagog
Pedagogisk-psykologisk rådgiver (PP-rådgiver),pedagogisk-psykologisk-raadgiver-pp-raadgiver,Akademiske yrker,2634,795240,9490,,https://utdanning.no/yrker/y_ppradgiver
Perfusjonist,perfusjonist,Akademiske yrker,2221,765720,29478,Master,https://utdanning.no/yrker/y_perfusjonist
Personalrådgiver,personalraadgiver,Akademiske yrker,2423,797760,16012,Bachelor,https://utdanning.no/yrker/y_personalradgiver
Personalsjef,personalsjef,Ledere,1212,1160040,2328,Bachelor,https://utdanning.no/yrker/y_personalsjef
Personlig assistent,personlig-assistent,Salgs- og serviceyrker,5169,501600,384,Ingen formelle krav,https://utdanning.no/yrker/y_personlig_ass
Personlig trener,personlig-trener,Høyskoleyrker,3423,530040,4417,Bachelor,https://utdanning.no/yrker/y_personlig_trener
Petroleumsingeniør,petroleumsingenioer,Akademiske yrker,2146,1182000,11576,Master,https://utdanning.no/yrker/y_petroleum_ing
Pianostemmer,pianostemmer,Håndverkere,7312,575160,64,Bachelor,https://utdanning.no/yrker/y_pianostemmer
Pilot,pilot,Høyskoleyrker,3153,1421280,1813,Bachelor,https://utdanning.no/yrker/y_pilot
Planteinspektør,planteinspektoer,Høyskoleyrker,3257,829800,5524,,https://utdanning.no/yrker/y_planteinspektor
Planteviter,planteviter,,,,,,https://utdanning.no/yrker/y_planteviter
Platearbeider,platearbeider,Håndverkere,7214,587400,3746,Videregående,https://utdanning.no/yrker/y_platearbeider
Pleiemedarbeider,pleiemedarbeider,Salgs- og serviceyrker,5329,540840,69871,Fagbrev/fagskole,https://utdanning.no/yrker/y_pleiemedarbeider
